Date,Reviews,Norm_Reviews,Region
2020-06-28,2748,0.10805440254349553,North America
2020-07-05,4117,0.16850657952839354,North America
2020-07-12,3407,0.13715446436456769,North America
2020-07-19,4035,0.16488563101651504,North America
2020-07-26,4281,0.17574847655215048,North America
2020-08-02,5267,0.21928817451205512,North America
2020-08-09,5333,0.22220259648503046,North America
2020-08-16,3913,0.15949836615737878,North America
2020-08-23,1921,0.07153581206394065,North America
2020-08-30,301,0.0,North America
2019-06-02,4945,0.758206195099399,North Europe
2019-06-09,4762,0.7300046232085067,North Europe
2019-06-16,5307,0.8139929110802897,North Europe
2019-06-23,5269,0.8081368469717984,North Europe
2019-06-30,4905,0.7520419170904608,North Europe
2019-07-07,4820,0.7389428263214671,North Europe
2019-07-14,5218,0.8002773925104022,North Europe
2019-07-21,5887,0.9033749422098937,North Europe
2019-07-28,6299,0.9668670057019572,North Europe
2019-08-04,6229,0.9560795191863153,North Europe
2019-08-11,6514,1.0,North Europe
2019-08-18,6413,0.9844351980274311,North Europe
2019-08-25,6315,0.9693327169055325,North Europe
2019-09-01,5547,0.8509785791339189,North Europe
2019-09-08,4628,0.7093542918785637,North Europe
2019-09-15,4624,0.7087378640776699,North Europe
2019-09-22,4314,0.6609647095083988,North Europe
2019-09-29,3621,0.5541685930035445,North Europe
2019-10-06,3536,0.5410695022345507,North Europe
2019-10-13,3155,0.48235475419941437,North Europe
2019-10-20,3337,0.5104022191400832,North Europe
2019-10-27,2864,0.43750963168438894,North Europe
2019-11-03,3163,0.483587609801202,North Europe
2019-11-10,2487,0.3794113114501464,North Europe
2019-11-17,2579,0.3935891508707043,North Europe
2019-11-24,2417,0.3686238249345046,North Europe
2019-12-01,2906,0.4439821235937741,North Europe
2019-12-08,2985,0.456156572661427,North Europe
2019-12-15,2479,0.37817845584835874,North Europe
2019-12-22,1880,0.2858683926645092,North Europe
2019-12-29,2555,0.38989058406534133,North Europe
2020-01-05,4406,0.6751425489289566,North Europe
2020-01-12,1757,0.2669132377870242,North Europe
2020-01-19,1742,0.2646016335336724,North Europe
2020-01-26,2032,0.3092926490984743,North Europe
2020-02-02,2468,0.37648327939590076,North Europe
2020-02-09,2332,0.3555247341655109,North Europe
2020-02-16,2382,0.36323008167668364,North Europe
2020-02-23,2680,0.4091539528432732,North Europe
2020-03-01,2573,0.3926645091693635,North Europe
2020-03-08,2310,0.3521343812605949,North Europe
2020-03-15,2097,0.3193096008629989,North Europe
2020-03-22,469,0.06842348589921406,North Europe
2020-03-29,187,0.024965325936199722,North Europe
2020-04-05,233,0.03205424564647866,North Europe
2020-04-12,153,0.01972568962860225,North Europe
2020-04-19,144,0.018338727076591153,North Europe
2020-04-26,139,0.01756819232547388,North Europe
2020-05-03,230,0.03159192479580829,North Europe
2020-05-10,170,0.022345507782400985,North Europe
2020-05-17,209,0.028355678841115735,North Europe
2020-05-24,280,0.039297272306981046,North Europe
2020-05-31,344,0.04916011712128217,North Europe
2020-06-07,388,0.055940822931114194,North Europe
2020-06-14,330,0.0470026198181538,North Europe
2020-06-21,390,0.0562490368315611,North Europe
2020-06-28,359,0.051471721374633995,North Europe
2020-07-05,325,0.04623208506703652,North Europe
2020-07-12,397,0.05732778548312529,North Europe
2020-07-19,415,0.06010171058714748,North Europe
2020-07-26,311,0.04407458776390815,North Europe
2020-08-02,25,0.0,North Europe
2019-06-02,4764,0.3594494441503441,South America
2019-06-09,4288,0.3234515616728428,South America
2019-06-16,4597,0.34681993496180896,South America
2019-06-23,6245,0.47145125916962866,South America
2019-06-30,6681,0.5044241095061635,South America
2019-07-07,5488,0.4142025259018377,South America
2019-07-14,8457,0.638735536565076,South America
2019-07-21,7408,0.5594040686682296,South America
2019-07-28,7457,0.5631097330409136,South America
2019-08-04,7202,0.5438251531422521,South America
2019-08-11,5537,0.41790819027452164,South America
2019-08-18,5938,0.4482341374877108,South America
2019-08-25,6988,0.5276412311880814,South America
2019-09-01,6330,0.4778794524691825,South America
2019-09-08,5639,0.42562202223398626,South America
2019-09-15,5655,0.4268320350903728,South America
2019-09-22,6465,0.4880889359449444,South America
2019-09-29,7796,0.5887468804356046,South America
2019-10-06,10557,0.7975497239658171,South America
2019-10-13,10009,0.7561067836345761,South America
2019-10-20,8073,0.6096952280117977,South America
2019-10-27,6280,0.47409816229297436,South America
2019-11-03,6228,0.47016562050971794,South America
2019-11-10,7222,0.5453376692127354,South America
2019-11-17,8024,0.6059895636391137,South America
2019-11-24,7901,0.5966875898056417,South America
2019-12-01,7663,0.5786886485668911,South America
2019-12-08,7066,0.533540043862966,South America
2019-12-15,7467,0.5638659910761552,South America
2019-12-22,7052,0.5324812826136278,South America
2019-12-29,6107,0.4610148982832943,South America
2020-01-05,12150,0.9180216289798079,South America
2020-01-12,8561,0.6466006201315889,South America
2020-01-19,8257,0.6236103758602435,South America
2020-01-26,7646,0.5774030099069802,South America
2020-02-02,7681,0.5800499130303259,South America
2020-02-09,6525,0.49262648415639415,South America
2020-02-16,7385,0.5576646751871739,South America
2020-02-23,7417,0.5600847008999471,South America
2020-03-01,13234,1.0,South America
2020-03-08,7144,0.5394388565378507,South America
2020-03-15,7505,0.5667397716100734,South America
2020-03-22,4682,0.35324812826136276,South America
2020-03-29,1549,0.11631248582016183,South America
2020-04-05,1287,0.09649852529683128,South America
2020-04-12,579,0.04295545640172427,South America
2020-04-19,579,0.04295545640172427,South America
2020-04-26,527,0.039022914618467824,South America
2020-05-03,814,0.060727520229902444,South America
2020-05-10,592,0.04393859184753838,South America
2020-05-17,519,0.03841790819027452,South America
2020-05-24,416,0.03062845042728579,South America
2020-05-31,611,0.04537548211449747,South America
2020-06-07,563,0.04174544354533767,South America
2020-06-14,530,0.03924979202904031,South America
2020-06-21,297,0.02162897980791046,South America
2020-06-28,11,0.0,South America
2019-06-02,75699,0.8398985460491918,South Europe
2019-06-09,75043,0.8326009811664979,South Europe
